name;id;error;time;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-3;0;false;25428.125;false;71;71;71;15023 15024 15024 15024 15024 15024 15024 15025 15025 15025 15025 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15027 15027 15027 15027 15027 15027 15027 15028 15028 15028 15028 15028 15028 15028 15028 15028 15028 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030;15023 15024 15024 15024 15024 15024 15024 15025 15025 15025 15025 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15027 15027 15027 15027 15027 15027 15027 15028 15028 15028 15028 15028 15028 15028 15028 15028 15028 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030;15023 15024 15024 15024 15024 15024 15024 15025 15025 15025 15025 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15026 15027 15027 15027 15027 15027 15027 15027 15028 15028 15028 15028 15028 15028 15028 15028 15028 15028 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030 15030;254;1
interactive-discover-3;1;false;11074.875;false;67;67;67;11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11272 11272 11272 11272 11272 11272 11272 11272 11272 11272 11272;11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11272 11272 11272 11272 11272 11272 11272 11272 11272 11272 11272;11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11269 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11270 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11271 11272 11272 11272 11272 11272 11272 11272 11272 11272 11272 11272;148;1
interactive-discover-3;2;false;9655.5;false;55;55;55;11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11433 11433 11433 11433 11433 11433;11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11433 11433 11433 11433 11433 11433;11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11430 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11431 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11432 11433 11433 11433 11433 11433 11433;101;1
interactive-discover-3;3;true;60115.5;true;0;0;0;;;;430;1
interactive-discover-3;4;false;16356.625;false;142;142;142;23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23357 23357 23357 23357 23357 23357 23357 23357 23357 23357 23357;23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23357 23357 23357 23357 23357 23357 23357 23357 23357 23357 23357;23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23350 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23351 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23352 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23353 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23354 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23355 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23356 23357 23357 23357 23357 23357 23357 23357 23357 23357 23357 23357;274;1
interactive-discover-4;0;false;22008.5;false;5;5;5;22759 22759 22759 22760 22760;22759 22759 22759 22760 22760;22759 22759 22759 22760 22760;144;1
interactive-discover-4;1;false;7634.875;false;3;3;3;8116 8116 8116;8116 8116 8116;8116 8116 8116;24;1
interactive-discover-4;2;false;7666.375;false;3;3;3;7980 7980 7980;7980 7980 7980;7980 7980 7980;21;1
interactive-discover-4;3;false;18173.625;false;3;3;3;18447 18448 18448;18447 18448 18448;18447 18448 18448;229;1
interactive-discover-4;4;false;21309.375;false;7;7;7;21446 21447 21447 21447 21447 21447 21447;21446 21447 21447 21447 21447 21447 21447;21446 21447 21447 21447 21447 21447 21447;143;1
