name;id;error;time;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-7;3;false;60170.375;false;1;1;1;60178;60178;60178;1078;7
interactive-discover-7;4;false;13581.875;false;1;1;1;13988;13988;13988;123;3
interactive-discover-8;0;false;20507.125;false;10;10;10;17157 18060 18060 19056 19563 20179 20902 21102 23221 24018;17157 18060 18060 19056 19563 20179 20902 21102 23221 24018;17157 18060 18060 19056 19563 20179 20902 21102 23221 24018;550;1
interactive-discover-8;1;false;22022.375;false;10;10;10;18404 19418 19419 20159 20160 21229 21229 22096 22592 23250;18404 19418 19419 20159 20160 21229 21229 22096 22592 23250;18404 19418 19419 20159 20160 21229 21229 22096 22592 23250;543;2
interactive-discover-8;2;false;18107.25;false;10;10;10;14045 14629 14629 15560 15900 16624 17095 17725 18137 18670;14045 14629 14629 15560 15900 16624 17095 17725 18137 18670;14045 14629 14629 15560 15900 16624 17095 17725 18137 18670;280;2
interactive-discover-8;3;false;22213.125;false;10;10;10;18546 19368 19368 20255 20256 21339 21340 22350 22350 23219;18546 19368 19368 20255 20256 21339 21340 22350 22350 23219;18546 19368 19368 20255 20256 21339 21340 22350 22350 23219;418;2
interactive-discover-8;4;false;27952;false;10;10;10;24671 24671 26269 26269 27505 27505 28498 28498 29562 30463;24671 24671 26269 26269 27505 27505 28498 28498 29562 30463;24671 24671 26269 26269 27505 27505 28498 28498 29562 30463;521;2
interactive-short-1;0;false;11539.375;false;1;1;1;14742;14742;14742;129;0
interactive-short-1;1;false;7337.375;false;1;1;1;7784;7784;7784;21;0
interactive-short-1;2;false;7247.625;false;1;1;1;7620;7620;7620;18;0
interactive-short-1;3;false;13094.125;false;1;1;1;14950;14950;14950;225;0
interactive-short-1;4;false;19341.5;false;1;1;1;20995;20995;20995;124;0
interactive-short-2;0;true;60190.75;false;0;0;0;;;;1349;4
interactive-short-2;1;true;60193.125;false;0;0;0;;;;1756;5
interactive-short-2;2;true;60202.5;false;0;0;0;;;;1644;4
interactive-short-2;3;false;60186;false;1;1;1;60160;60160;60160;1843;10
interactive-short-2;4;true;60251.75;false;0;0;0;;;;1609;5
interactive-short-3;0;false;60171.75;true;1;1;1;31637;31637;31637;3834;9
interactive-short-3;1;false;60191.75;false;1;1;1;60245;60245;60245;4154;6
interactive-short-3;2;true;60189.125;false;0;0;0;;;;3361;0
interactive-short-3;3;false;60144.375;true;1;1;1;60156;60156;60156;4109;8
interactive-short-3;4;false;60145.125;false;1;1;1;60146;60146;60146;3809;11
interactive-short-4;0;false;6754.75;false;1;1;1;7231;7231;7231;1;0
interactive-short-4;1;false;7022.75;false;1;1;1;7305;7305;7305;1;0
interactive-short-4;2;false;6470.5;false;1;1;1;6952;6952;6952;2;0
interactive-short-4;3;false;6527.875;false;1;1;1;6815;6815;6815;2;0
interactive-short-4;4;false;6739.5;false;1;1;1;7064;7064;7064;1;0
interactive-short-5;0;false;8121.125;false;1;1;1;8607;8607;8607;40;1
interactive-short-5;1;false;8308.125;false;1;1;1;8458;8458;8458;39;1
interactive-short-5;2;false;11113;false;1;1;1;12011;12011;12011;103;1
interactive-short-5;3;false;8040.75;false;1;1;1;8260;8260;8260;38;1
interactive-short-5;4;false;9173.625;false;1;1;1;9671;9671;9671;53;1
interactive-short-6;0;true;60156.75;false;0;0;0;;;;4178;1
interactive-short-6;1;false;60230;false;1;1;1;60240;60240;60240;4323;4
interactive-short-6;2;true;60186.375;true;0;0;0;;;;6213;3
interactive-short-6;3;true;60214.75;false;0;0;0;;;;6621;3
interactive-short-6;4;true;60185.625;false;0;0;0;;;;5314;5
interactive-short-7;0;true;60196.875;false;0;0;0;;;;4219;8
interactive-short-7;1;true;60177.5;false;0;0;0;;;;4393;8
interactive-short-7;2;true;60163;true;0;0;0;;;;4568;7
interactive-short-7;3;true;60177.375;false;0;0;0;;;;4666;7
interactive-short-7;4;true;60158.75;true;0;0;0;;;;5503;2
